"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,1,46,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",683,67943984630565,67943984654286,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,47,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",687,67943984654286,67943984657007,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,48,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",702,67943984709849,67943984712210,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,49,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",719,67943984885019,67943984906740,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,50,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",723,67943984909621,67943984910901,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,51,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",738,67943984963464,67943984965784,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,52,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",755,67943985068549,67943985089591,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,53,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",759,67943985092671,67943985093991,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,54,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",774,67943985146994,67943985149394,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,55,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",791,67943985221518,67943985243399,0,0,72,128,112,256,1,1,139264,1,1
